#category: alcohol
#source: USDA FoodData Central (SR Legacy)
#servings: 1 drink (150 ml)@150*;100 g@100
#density: 0.99
# ETHANOL IS 6.93 kcal/g AND IS NOT A MACRONUTRIENT FIELD.
# Every row here therefore fails a naive 4/4/9 energy check by design, and every
# row carries the `alcohol` exception. validate.mjs back-computes the implied
# ethanol content from the calorie gap and asserts it is physically plausible
# for the drink — that is a stronger check than 4/4/9 would have been.
# US standard drinks: beer 12 fl oz, wine 5 fl oz, spirits 1.5 fl oz.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- beer ----------------------------------------------------------------
beer-regular|Beer, regular, 4.5% ABV|lager;beer|43|0.46|3.55|0|0|0|0|4|1 can or bottle (355 ml)@359*;1 pint (473 ml)@478;1 can (473 ml)@478|d=1.01;fl=alcohol
beer-light|Beer, light, 4.2% ABV|light beer;michelob ultra|29|0.24|1.64|0|0|0.09|0|4|1 can or bottle (355 ml)@358*;1 pint (473 ml)@477|d=1.01;fl=alcohol
beer-ipa|Beer, IPA, 7% ABV|india pale ale|62|0.60|5.50|0|0|0|0|5|1 can (355 ml)@359*;1 pint (473 ml)@478|d=1.01;v=0;fl=alcohol
beer-stout|Beer, stout, 4.2% ABV|guinness|36|0.30|3.00|0|0|0|0|6|1 pint (473 ml)@478*;1 can (440 ml)@444|d=1.01;v=0;fl=alcohol
beer-wheat|Beer, wheat or hefeweizen, 5% ABV||48|0.55|4.30|0|0|0|0|5|1 can (355 ml)@359*;1 pint (473 ml)@478|d=1.01;v=0;fl=alcohol
beer-pilsner|Beer, pilsner, 5% ABV||45|0.46|3.60|0|0|0|0|4|1 can (355 ml)@359*;1 pint (473 ml)@478|d=1.01;v=0;fl=alcohol
beer-sour|Beer, sour, 5% ABV||45|0.40|4.00|0|0|1.5|0|6|1 can (355 ml)@359*;100 g@100|d=1.01;v=0;fl=alcohol
beer-non-alcoholic|Beer, non-alcoholic||13|0.42|2.80|0|0|1.5|0|5|1 can (355 ml)@358*;100 g@100|d=1.01;v=0
hard-seltzer|Hard seltzer, 5% ABV|white claw;truly|28|0|0.56|0|0|0.56|0|6|1 can (355 ml)@357*;2 cans (710 ml)@714|d=1.005;v=0;fl=alcohol
hard-cider|Hard cider, 5% ABV||50|0|5.00|0|0|4.50|0|7|1 can or bottle (355 ml)@359*;1 pint (473 ml)@478|d=1.01;v=0;fl=alcohol

# --- wine ----------------------------------------------------------------
wine-red|Wine, red, 13.5% ABV|cabernet;merlot;pinot noir;red wine|85|0.07|2.61|0|0|0.62|0|4|1 glass, 5 fl oz (148 ml)@146*;1 large pour (177 ml)@175;1 bottle (750 ml)@743|d=0.99;fl=alcohol
wine-white-dry|Wine, white, dry, 12% ABV|sauvignon blanc;pinot grigio;chardonnay|82|0.07|2.60|0|0|1.00|0|5|1 glass, 5 fl oz (148 ml)@146*;1 bottle (750 ml)@743|d=0.99;fl=alcohol
