#category: beverage
#source: USDA FoodData Central (SR Legacy)
#servings: 1 cup (240 ml)@240*;100 g@100
#density: 1.0
# Non-alcoholic drinks. Everything here carries a density so that fluid-ounce,
# millilitre and can/bottle servings all resolve to grams.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
water|Water||0|0|0|0|0|0|0|0|1 cup (240 ml)@240*;1 bottle (500 ml)@500;1 L (1000 ml)@1000
water-sparkling|Sparkling water, unflavored|seltzer;club soda;lacroix|0|0|0|0|0|0|0|21|1 can (355 ml)@355*;1 bottle (500 ml)@500
coffee-black-brewed|Coffee, brewed, black||1|0.12|0|0.02|0|0|0|2|1 cup (240 ml)@237*;1 mug (355 ml)@350;1 large (473 ml)@467|d=0.99
coffee-espresso|Espresso||9|0.12|1.67|0.18|0|0|0.09|14|1 shot (30 ml)@30*;2 shots (60 ml)@60|d=1.0
coffee-cold-brew|Cold brew coffee, black||1|0.2|0|0|0|0|0|3|1 cup (240 ml)@240*;1 bottle (473 ml)@473
coffee-instant-prepared|Instant coffee, prepared||2|0.10|0.34|0|0|0|0|4|1 cup (240 ml)@239*;100 g@100
coffee-decaf-brewed|Decaf coffee, brewed||0|0.10|0|0|0|0|0|2|1 cup (240 ml)@237*;100 g@100
tea-black-brewed|Tea, black, brewed, unsweetened||1|0|0.30|0|0|0|0|3|1 cup (240 ml)@237*;1 mug (355 ml)@350|d=0.99
tea-green-brewed|Tea, green, brewed, unsweetened||1|0.22|0|0|0|0|0|1|1 cup (240 ml)@237*;100 g@100|d=0.99
tea-herbal-brewed|Herbal tea, brewed||1|0|0.20|0|0|0|0|2|1 cup (240 ml)@237*;100 g@100|d=0.99
tea-iced-unsweetened|Iced tea, unsweetened||1|0|0.30|0|0|0|0|4|16 oz (473 ml)@473*;1 cup (240 ml)@240
tea-iced-sweetened|Iced tea, sweetened||29|0|7.50|0|0|7.20|0|7|16 oz (473 ml)@478*;1 cup (240 ml)@243|d=1.01
