#category: bread
#source: USDA FoodData Central (SR Legacy)
#servings: 1 slice (28 g)@28*;2 slices (56 g)@56;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- sliced loaves -------------------------------------------------------
bread-white|White bread, sliced|sandwich bread|266|9.0|49.0|3.3|2.4|5.7|0.72|490|1 slice (28 g)@28*;2 slices (56 g)@56;1 thin slice (22 g)@22|ret=0;car=0;ffol=22;fac=91;dfe=176
bread-whole-wheat|Whole wheat bread, sliced|wheat bread|254|12.3|43.1|3.5|6.0|5.6|0.77|450|1 slice (28 g)@28*;2 slices (56 g)@56|ret=0;car=0;ffol=44;fac=0;dfe=44
bread-multigrain|Multigrain bread, sliced||265|13.4|43.3|4.2|7.4|6.0|0.92|429|1 slice (26 g)@26*;2 slices (52 g)@52|
bread-sourdough|Sourdough bread||274|11.0|53.0|2.0|2.4|2.5|0.4|570|1 slice (36 g)@36*;2 slices (72 g)@72|v=0
bread-rye|Rye bread||259|8.5|48.3|3.3|5.8|3.9|0.63|603|1 slice (32 g)@32*;2 slices (64 g)@64
bread-pumpernickel|Pumpernickel bread||250|8.7|47.5|3.1|6.5|0.4|0.44|598|1 slice (32 g)@32*;100 g@100
bread-sprouted-grain|Sprouted grain bread|ezekiel bread|250|13.0|44.0|2.0|6.0|0|0.5|320|1 slice (34 g)@34*;2 slices (68 g)@68|brand=Food for Life;src=manufacturer label
bread-daves-21-grain|Dave's Killer Bread, 21 Whole Grains||267|13.3|44.4|4.4|8.9|11.1|0.6|378|1 slice (45 g)@45*;2 slices (90 g)@90|brand=Dave's Killer Bread;src=manufacturer label
bread-oatmeal|Oatmeal bread||269|8.4|48.5|4.4|4.0|6.0|0.7|482|1 slice (27 g)@27*;100 g@100|v=0
bread-potato|Potato bread||266|8.0|48.0|3.5|2.0|6.0|0.8|420|1 slice (32 g)@32*;100 g@100|v=0
bread-brioche|Brioche loaf||330|9.0|48.0|11.0|1.5|9.0|6.0|400|1 slice (40 g)@40*;100 g@100|v=0
bread-gluten-free|Gluten-free bread, sliced||260|3.0|48.0|6.0|3.5|4.0|1.0|420|1 slice (32 g)@32*;2 slices (64 g)@64|v=0
bread-keto-low-carb|Keto bread, low carbohydrate||210|20.0|30.0|5.0|22.0|0|1.0|420|1 slice (28 g)@28*;2 slices (56 g)@56|v=0
