#category: condiment
#source: USDA FoodData Central (SR Legacy)
#servings: 1 tbsp (15 g)@15*;1 tsp (5 g)@5;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
ketchup|Ketchup|tomato ketchup;catsup|101|1.04|25.8|0.10|0.3|21.8|0.03|907|1 tbsp (17 g)@17*;1 packet (9 g)@9;2 tbsp (34 g)@34|d=1.14
ketchup-no-sugar|Ketchup, no sugar added||29|1.4|5.7|0.1|1.4|2.9|0.03|857|1 tbsp (17 g)@17*;100 g@100|d=1.14;v=0
mustard-yellow|Mustard, yellow||60|3.74|5.83|3.34|4.0|0.86|0.20|1120|1 tsp (5 g)@5*;1 tbsp (15 g)@15;1 packet (6 g)@6|d=1.05
mustard-dijon|Mustard, Dijon||66|4.0|5.3|3.6|3.3|1.5|0.22|1900|1 tsp (5 g)@5*;1 tbsp (15 g)@15|d=1.05;v=0
mustard-whole-grain|Mustard, whole grain||110|6.0|8.0|7.0|5.0|1.5|0.5|1400|1 tsp (5 g)@5*;1 tbsp (15 g)@15|d=1.05;v=0
mustard-honey|Honey mustard||180|1.5|22.0|9.0|0.5|18.0|1.2|750|1 tbsp (15 g)@15*;2 tbsp (30 g)@30|d=1.1;v=0
soy-sauce|Soy sauce, regular||53|8.14|4.93|0.57|0.8|0.40|0.08|5493|1 tbsp (16 ml)@18.4*;1 tsp (5 ml)@5.8;1 packet (9 g)@9|d=1.15
soy-sauce-low-sodium|Soy sauce, reduced sodium||57|6.0|8.0|0.1|0.5|1.5|0.02|3300|1 tbsp (16 ml)@18.4*;1 tsp (5 ml)@5.8|d=1.15;v=0
tamari|Tamari, gluten free soy sauce||60|10.5|5.6|0.1|0.8|1.7|0.02|5586|1 tbsp (16 ml)@18.4*;1 tsp (5 ml)@5.8|d=1.15
coconut-aminos|Coconut aminos||90|1.0|20.0|0|0|13.0|0|2000|1 tbsp (15 ml)@16.2*;1 tsp (5 ml)@5.4|d=1.08;v=0
fish-sauce|Fish sauce||35|5.06|3.64|0.01|0|3.64|0|7851|1 tbsp (18 ml)@21.6*;1 tsp (6 ml)@7.2|d=1.2
