#category: dairy
#source: USDA FoodData Central (SR Legacy)
#servings: 1 oz (28 g)@28*;100 g@100
# Any serving whose label contains "ml" is a true fluid volume and therefore
# REQUIRES a density (validate.mjs enforces this). 1 US cup = 240 ml.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- fluid milk ----------------------------------------------------------
milk-whole|Milk, whole, 3.25%|whole milk|61|3.15|4.8|3.25|0|4.8|1.86|43|1 cup (240 ml)@244*;1/2 cup (120 ml)@122;1 tbsp (15 ml)@15;1 pint (473 ml)@488|d=1.03;ret=45;car=1;ffol=5;fac=0;dfe=5;src=USDA FoodData Central SR Legacy FDC 171265, release 2018-04, reviewed 2026-08-01
milk-2-percent|Milk, 2% reduced fat|2% milk;reduced fat milk|50|3.30|4.8|1.98|0|4.8|1.22|47|1 cup (240 ml)@244*;1/2 cup (120 ml)@122;1 tbsp (15 ml)@15|d=1.03;ret=57;car=1;ffol=5;fac=0;dfe=5
milk-1-percent|Milk, 1% lowfat|1% milk|42|3.37|5.0|0.97|0|5.0|0.63|44|1 cup (240 ml)@244*;1/2 cup (120 ml)@122|d=1.03;ret=58;car=1;ffol=5;fac=0;dfe=5
milk-skim|Milk, nonfat|skim milk;fat free milk;nonfat milk|34|3.37|4.96|0.18|0|4.96|0.12|42|1 cup (240 ml)@244*;1/2 cup (120 ml)@122|d=1.03;ret=61;car=1;ffol=5;fac=0;dfe=5
milk-lactose-free-2|Milk, lactose free, 2%|lactaid|50|3.3|4.8|2.0|0|4.8|1.2|50|1 cup (240 ml)@244*;100 g@100|d=1.03;v=0
milk-buttermilk|Buttermilk, lowfat||40|3.31|4.79|0.88|0|4.8|0.55|105|1 cup (240 ml)@245*;100 g@100|d=1.03
milk-chocolate-1|Chocolate milk, 1% lowfat||71|3.4|12.2|1.5|0.7|11.3|0.95|62|1 cup (240 ml)@250*;1 bottle (414 ml)@431|d=1.04
milk-chocolate-whole|Chocolate milk, whole||83|3.2|10.3|3.4|0.7|9.5|2.1|60|1 cup (240 ml)@250*;100 g@100|d=1.04
milk-raw-goat|Goat milk||69|3.56|4.45|4.14|0|4.45|2.67|50|1 cup (240 ml)@244*;100 g@100|d=1.03
milk-evaporated|Evaporated milk, canned||135|6.81|10.04|7.56|0|10.0|4.59|106|1 tbsp (15 ml)@16;1/2 cup (120 ml)@126*|d=1.05
milk-condensed-sweetened|Sweetened condensed milk||321|7.91|54.4|8.7|0|54.4|5.49|127|1 tbsp (15 ml)@19*;1/4 cup (60 ml)@76|d=1.28
milk-powder-nonfat|Milk powder, nonfat, dry||362|36.2|52.0|0.77|0|52.0|0.5|535|1/4 cup (30 g)@30*;100 g@100|d=-
milk-kefir-lowfat|Kefir, plain, lowfat||41|3.79|4.48|0.93|0|4.5|0.6|40|1 cup (240 ml)@243*;100 g@100|d=1.02;v=0
milk-kefir-whole|Kefir, plain, whole milk||60|3.3|4.6|3.3|0|4.6|2.1|50|1 cup (240 ml)@243*;100 g@100|d=1.02;v=0

# --- creams --------------------------------------------------------------
cream-half-and-half|Half and half||130|2.96|4.30|11.5|0|4.3|7.17|41|1 tbsp (15 ml)@15*;1/4 cup (60 ml)@60|d=1.01;ret=105;car=2;ffol=2;fac=0;dfe=2
