#category: fat-oil
#source: USDA FoodData Central (SR Legacy)
#servings: 1 tbsp (15 ml)@14*;1 tsp (5 ml)@4.5;1/4 cup (60 ml)@55
#density: 0.92
# All pure oils are 884 kcal / 100 g by definition (100 g of fat x 9 kcal/g,
# less a rounding convention). What differs is the fatty-acid profile.
# 1 tbsp of oil = 13.5-14 g, NOT 15 g — oil is less dense than water.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
oil-olive-extra-virgin|Olive oil, extra virgin|evoo;olive oil|884|0|0|100|0|0|13.8|2|1 tbsp (15 ml)@13.5*;1 tsp (5 ml)@4.5;1/4 cup (60 ml)@54|d=0.91
oil-olive-light|Olive oil, light or refined||884|0|0|100|0|0|13.8|2|1 tbsp (15 ml)@13.5*;1 tsp (5 ml)@4.5|d=0.91
oil-avocado|Avocado oil||884|0|0|100|0|0|11.6|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.91
oil-canola|Canola oil|rapeseed oil|884|0|0|100|0|0|7.4|0|1 tbsp (15 ml)@14*;1 tsp (5 ml)@4.7|d=0.92
oil-vegetable|Vegetable oil, soybean||884|0|0|100|0|0|15.7|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.92
oil-sunflower|Sunflower oil||884|0|0|100|0|0|10.3|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.92
oil-safflower|Safflower oil||884|0|0|100|0|0|7.5|0|1 tbsp (15 ml)@13.6*;100 g@100|d=0.92
oil-corn|Corn oil||884|0|0|100|0|0|12.9|0|1 tbsp (15 ml)@13.6*;100 g@100|d=0.92
oil-peanut|Peanut oil||884|0|0|100|0|0|16.9|0|1 tbsp (15 ml)@13.5*;100 g@100|d=0.91
oil-sesame|Sesame oil, toasted||884|0|0|100|0|0|14.2|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.92
oil-grapeseed|Grapeseed oil||884|0|0|100|0|0|9.6|0|1 tbsp (15 ml)@13.6*;100 g@100|d=0.92
oil-coconut|Coconut oil|virgin coconut oil|862|0|0|100|0|0|82.5|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.92
oil-flaxseed|Flaxseed oil|linseed oil|884|0|0|100|0|0|8.98|0|1 tbsp (15 ml)@13.6*;1 tsp (5 ml)@4.5|d=0.92
oil-walnut|Walnut oil||884|0|0|100|0|0|9.1|0|1 tbsp (15 ml)@13.6*;100 g@100|d=0.92
oil-mct|MCT oil||830|0|0|93.3|0|0|93.3|0|1 tbsp (15 ml)@14*;1 tsp (5 ml)@4.7|d=0.94;v=0;src=manufacturer label
oil-fish|Fish oil, omega-3||902|0|0|100|0|0|21.1|0|1 tsp (5 ml)@4.6*;1 capsule (1 g)@1|d=0.92
oil-cod-liver|Cod liver oil||902|0|0|100|0|0|22.6|0|1 tsp (5 ml)@4.6*;1 tbsp (15 ml)@13.6|d=0.92;ret=30000;car=0;ffol=0;fac=0;dfe=0
oil-chili|Chili oil||884|0|0|100|0|0|14.0|10|1 tsp (5 ml)@4.5*;1 tbsp (15 ml)@13.6|d=0.92;v=0
oil-truffle|Truffle oil||884|0|0|100|0|0|14.0|2|1 tsp (5 ml)@4.5*;100 g@100|d=0.92;v=0
oil-spray-cooking|Cooking spray, canola||884|0|0|100|0|0|7.4|0|1 spray, 1/3 sec (0.3 g)@0.3*;1 sec spray (0.9 g)@0.9|d=0.92
butter-salted|Butter, salted||717|0.85|0.06|81.1|0|0.06|51.4|643|1 tbsp (14 g)@14*;1 tsp (5 g)@5;1 pat (5 g)@5;1 stick (113 g)@113|d=0.91;ret=671;car=13;ffol=3;fac=0;dfe=3
butter-unsalted|Butter, unsalted|sweet butter|717|0.85|0.06|81.1|0|0.06|51.4|11|1 tbsp (14 g)@14*;1 tsp (5 g)@5;1 stick (113 g)@113|d=0.91;ret=671;car=13;ffol=3;fac=0;dfe=3
butter-whipped|Butter, whipped, salted||717|0.85|0.06|81.1|0|0.06|50.5|643|1 tbsp (9 g)@9*;1 tsp (3 g)@3|d=0.6;v=0
butter-ghee|Ghee, clarified butter||900|0.28|0|99.5|0|0|61.9|2|1 tbsp (13 g)@13*;1 tsp (4.5 g)@4.5|d=0.91;ret=824;car=0;ffol=0;fac=0;dfe=0
butter-brown|Brown butter||900|0.5|0|99.5|0|0|62.0|8|1 tbsp (13 g)@13*;100 g@100|d=0.91;v=0
margarine-stick|Margarine, stick, 80% fat||717|0.16|0.75|80.7|0|0|15.2|751|1 tbsp (14 g)@14*;1 tsp (5 g)@5|d=0.91;ret=819;car=0;ffol=1;fac=0;dfe=1
margarine-tub-light|Margarine spread, light, 40% fat||362|0.20|0.60|39.9|0|0|7.3|700|1 tbsp (14 g)@14*;100 g@100|d=0.95;v=0
shortening-vegetable|Shortening, vegetable|crisco|884|0|0|100|0|0|25.0|0|1 tbsp (13 g)@13*;1 cup (205 g)@205|d=0.88
tallow-beef|Beef tallow||902|0|0|100|0|0|49.8|0|1 tbsp (13 g)@13*;100 g@100|d=0.9
duck-fat|Duck fat||900|0|0|99.8|0|0|33.2|0|1 tbsp (13 g)@13*;100 g@100|d=0.9|v=0
schmaltz-chicken-fat|Chicken fat, schmaltz||900|0|0|99.8|0|0|29.8|0|1 tbsp (13 g)@13*;100 g@100|d=0.9
bacon-grease|Bacon grease, rendered||902|0|0|100|0|0|39.2|150|1 tbsp (13 g)@13*;100 g@100|d=0.92;v=0
mayo-regular|Mayonnaise, regular||680|0.96|0.57|74.9|0|0.57|11.7|635|1 tbsp (14 g)@14*;2 tbsp (28 g)@28|d=0.91
mayo-light|Mayonnaise, light||231|0.30|9.10|22.2|0|3.10|3.3|834|1 tbsp (15 g)@15*;2 tbsp (30 g)@30|d=0.95
mayo-olive-oil|Mayonnaise, olive oil blend||400|0.5|1.0|43.0|0|1.0|6.0|650|1 tbsp (14 g)@14*;100 g@100|d=0.92;v=0
mayo-vegan|Vegan mayonnaise||588|0|0|64.7|0|0|5.9|647|1 tbsp (15 g)@15*;100 g@100|d=0.93;v=0
