#category: herb-spice
#source: USDA FoodData Central (SR Legacy)
#servings: 1 tsp (2 g)@2*;1 tbsp (6 g)@6;100 g@100
#density: -
# Spices are nutritionally trivial per serving but people search for them, and a
# recipe builder needs them to exist. Per-100 g values look large; the serving
# is 1-2 g.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
salt-table|Salt, table|sodium chloride;kosher salt|0|0|0|0|0|0|0|38758|1 tsp (6 g)@6*;1/4 tsp (1.5 g)@1.5;1 pinch (0.4 g)@0.4
salt-sea|Sea salt||0|0|0|0|0|0|0|38758|1 tsp (6 g)@6*;1/4 tsp (1.5 g)@1.5
pepper-black-ground|Black pepper, ground||251|10.4|64.0|3.26|25.3|0.64|1.39|20|1 tsp (2.3 g)@2.3*;1 tbsp (6.9 g)@6.9
garlic-powder|Garlic powder||331|16.6|72.7|0.73|9.0|2.43|0.25|60|1 tsp (3.1 g)@3.1*;1 tbsp (9.7 g)@9.7
onion-powder|Onion powder||341|10.4|79.1|1.04|15.2|6.63|0.18|73|1 tsp (2.4 g)@2.4*;1 tbsp (7 g)@7
paprika|Paprika||282|14.1|54.0|12.9|34.9|10.3|2.14|68|1 tsp (2.3 g)@2.3*;1 tbsp (6.9 g)@6.9
paprika-smoked|Smoked paprika||282|14.1|54.0|12.9|34.9|10.3|2.14|68|1 tsp (2.3 g)@2.3*;1 tbsp (6.9 g)@6.9|v=0
cumin-ground|Cumin, ground||375|17.8|44.2|22.3|10.5|2.25|1.54|168|1 tsp (2.1 g)@2.1*;1 tbsp (6 g)@6
chili-powder|Chili powder||282|13.5|49.7|14.3|34.8|7.19|2.5|1640|1 tsp (2.6 g)@2.6*;1 tbsp (7.8 g)@7.8
cayenne-pepper|Cayenne pepper, ground||318|12.0|56.6|17.3|27.2|10.3|3.26|30|1 tsp (1.8 g)@1.8*;1/4 tsp (0.5 g)@0.5
red-pepper-flakes|Crushed red pepper flakes||318|12.0|56.6|17.3|27.2|10.3|3.26|30|1 tsp (1.8 g)@1.8*;1 tbsp (5.4 g)@5.4|v=0
oregano-dried|Oregano, dried||265|9.00|68.9|4.28|42.5|4.09|1.55|25|1 tsp (1 g)@1*;1 tbsp (3 g)@3
basil-dried|Basil, dried||233|22.9|47.8|4.07|37.7|1.71|2.16|76|1 tsp (0.7 g)@0.7*;1 tbsp (2.1 g)@2.1
basil-fresh|Basil, fresh||23|3.15|2.65|0.64|1.6|0.30|0.04|4|1/4 cup chopped (6 g)@6*;1 leaf (0.5 g)@0.5;1 cup (24 g)@24
thyme-dried|Thyme, dried||276|9.11|63.9|7.43|37.0|1.71|2.73|55|1 tsp (1 g)@1*;1 tbsp (3 g)@3
rosemary-dried|Rosemary, dried||331|4.88|64.1|15.2|42.6|0|7.37|50|1 tsp (1.2 g)@1.2*;1 tbsp (3.3 g)@3.3
parsley-fresh|Parsley, fresh||36|2.97|6.33|0.79|3.3|0.85|0.13|56|1/4 cup chopped (15 g)@15*;1 tbsp (4 g)@4
cilantro-fresh|Cilantro, fresh|coriander leaves;chinese parsley|23|2.13|3.67|0.52|2.8|0.87|0.01|46|1/4 cup chopped (4 g)@4*;1 tbsp (1 g)@1;1 bunch (28 g)@28
dill-fresh|Dill weed, fresh||43|3.46|7.02|1.12|2.1|0|0.06|61|1 tbsp (1 g)@1*;1/4 cup (6 g)@6
