#category: nut-seed
#source: USDA FoodData Central (SR Legacy)
#servings: 1 oz (28 g)@28*;1/4 cup (34 g)@34;100 g@100
# Nuts are the easiest food in the database to under-log: a "handful" is
# 30-45 g and 200-300 kcal. Default servings are deliberately 1 oz.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- tree nuts -----------------------------------------------------------
almonds-raw|Almonds, raw||579|21.2|21.6|49.9|12.5|4.35|3.80|1|1 oz (28 g)@28*;23 almonds (28 g)@28;1/4 cup (36 g)@36;1 cup (143 g)@143|ret=0;car=0;ffol=44;fac=0;dfe=44
almonds-roasted-salted|Almonds, dry roasted, salted||598|21.0|21.0|52.5|10.9|4.9|4.0|350|1 oz (28 g)@28*;1/4 cup (35 g)@35|
almonds-roasted-unsalted|Almonds, dry roasted, unsalted||598|21.0|21.0|52.5|10.9|4.9|4.0|1|1 oz (28 g)@28*;1/4 cup (35 g)@35|
almonds-marcona|Marcona almonds, fried and salted||620|19.0|18.0|56.0|9.0|4.0|4.5|360|1 oz (28 g)@28*;100 g@100|v=0
almond-butter|Almond butter, smooth||614|21.0|18.8|55.5|10.3|4.4|4.2|7|2 tbsp (32 g)@32*;1 tbsp (16 g)@16|
walnuts|Walnuts, English, halves||654|15.2|13.7|65.2|6.7|2.61|6.13|2|1 oz (28 g)@28*;1/4 cup (30 g)@30;7 halves (14 g)@14
pecans|Pecans, halves||691|9.17|13.9|72.0|9.6|3.97|6.18|0|1 oz (28 g)@28*;1/4 cup (27 g)@27;19 halves (28 g)@28|
cashews-raw|Cashews, raw||553|18.2|30.2|43.9|3.3|5.91|7.78|12|1 oz (28 g)@28*;1/4 cup (34 g)@34;18 cashews (28 g)@28
cashews-roasted-salted|Cashews, dry roasted, salted||574|15.3|32.7|46.4|3.0|5.0|9.2|640|1 oz (28 g)@28*;1/4 cup (34 g)@34
cashew-butter|Cashew butter||587|17.6|27.6|49.4|2.0|5.0|9.8|15|2 tbsp (32 g)@32*;1 tbsp (16 g)@16
pistachios-roasted|Pistachios, dry roasted, shelled||567|21.1|28.3|45.4|10.3|7.6|5.5|428|1 oz (28 g)@28*;49 kernels (28 g)@28;1/4 cup (31 g)@31|
pistachios-raw|Pistachios, raw, shelled||560|20.2|27.2|45.3|10.6|7.66|5.56|1|1 oz (28 g)@28*;1/4 cup (31 g)@31|
macadamia-nuts|Macadamia nuts, raw||718|7.91|13.8|75.8|8.6|4.57|12.1|5|1 oz (28 g)@28*;10 nuts (20 g)@20;1/4 cup (34 g)@34
brazil-nuts|Brazil nuts||656|14.3|12.3|66.4|7.5|2.33|15.1|3|1 oz (28 g)@28*;3 nuts (15 g)@15;6 nuts (30 g)@30
hazelnuts|Hazelnuts, raw|filberts|628|15.0|16.7|60.8|9.7|4.34|4.46|0|1 oz (28 g)@28*;21 nuts (28 g)@28;1/4 cup (34 g)@34|
pine-nuts|Pine nuts|pignoli|673|13.7|13.1|68.4|3.7|3.59|4.90|2|1 oz (28 g)@28*;1 tbsp (9 g)@9;1/4 cup (34 g)@34
chestnuts-roasted|Chestnuts, roasted||245|3.17|53.0|2.20|5.1|10.6|0.42|2|1 oz (28 g)@28*;3 nuts (25 g)@25
mixed-nuts-roasted-salted|Mixed nuts, dry roasted, salted||607|17.3|25.3|54.0|9.0|4.9|7.2|696|1 oz (28 g)@28*;1/4 cup (34 g)@34|
nuts-honey-roasted|Honey roasted mixed nuts||580|16.0|31.0|46.0|7.0|17.0|6.5|400|1 oz (28 g)@28*;100 g@100|v=0
peanuts-raw|Peanuts, raw||567|25.8|16.1|49.2|8.5|4.72|6.28|18|1 oz (28 g)@28*;1/4 cup (37 g)@37|ret=0;car=0;ffol=240;fac=0;dfe=240
