#category: pasta
#source: USDA FoodData Central (SR Legacy)
#servings: 1 cup cooked (140 g)@140*;2 oz dry (56 g)@56;100 g@100
# Dry pasta roughly doubles in weight when cooked: 56 g dry -> ~140 g cooked.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
pasta-spaghetti-dry|Spaghetti, dry, enriched|dry pasta;uncooked pasta|371|13.0|74.7|1.51|3.2|2.67|0.28|6|2 oz dry (56 g)@56*;100 g dry (100 g)@100|ret=0;car=0;ffol=15;fac=130;dfe=236
pasta-spaghetti-cooked|Spaghetti, cooked, enriched|cooked pasta;noodles|158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (140 g)@140*;1/2 cup (70 g)@70;2 cups (280 g)@280|ret=0;car=0;ffol=5;fac=46;dfe=83
pasta-penne-cooked|Penne, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (107 g)@107*;100 g@100
pasta-rotini-cooked|Rotini, cooked|fusilli|158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (105 g)@105*;100 g@100
pasta-macaroni-cooked|Elbow macaroni, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (140 g)@140*;100 g@100
pasta-farfalle-cooked|Farfalle, cooked|bow tie pasta|158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (107 g)@107*;100 g@100
pasta-linguine-cooked|Linguine, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (140 g)@140*;100 g@100
pasta-rigatoni-cooked|Rigatoni, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (110 g)@110*;100 g@100
pasta-shells-cooked|Pasta shells, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (110 g)@110*;100 g@100
pasta-orzo-cooked|Orzo, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (140 g)@140*;100 g@100|v=0
pasta-angel-hair-cooked|Angel hair pasta, cooked|capellini|158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 cup cooked (140 g)@140*;100 g@100|v=0
pasta-lasagna-noodle-cooked|Lasagna noodles, cooked||158|5.80|30.9|0.93|1.8|0.56|0.18|1|1 noodle (50 g)@50*;100 g@100|v=0
