#category: poultry
#source: USDA FoodData Central (SR Legacy)
#servings: 4 oz (113 g)@113*;6 oz (170 g)@170;3 oz (85 g)@85;1 oz (28 g)@28
# NOTE ON RAW vs COOKED — the single most-mislogged pair in any tracker.
# Raw skinless chicken breast is 120 kcal/100 g; the same meat roasted is
# 165 kcal/100 g because ~25% of the water is gone. If the user weighs it raw,
# they must log the raw entry.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- chicken -------------------------------------------------------------
chicken-breast-raw|Chicken breast, boneless skinless, raw|chicken fillet;boneless skinless chicken breast|120|22.5|0|2.6|0|0|0.6|45|4 oz (113 g)@113*;6 oz (170 g)@170;1 breast (174 g)@174;100 g@100
chicken-breast-cooked|Chicken breast, skinless, roasted|grilled chicken breast;baked chicken breast|165|31.0|0|3.6|0|0|1.0|74|4 oz (113 g)@113*;3 oz (85 g)@85;1 breast half (172 g)@172;1 cup diced (140 g)@140|src=USDA FoodData Central SR Legacy FDC 171477, release 2018-04, reviewed 2026-08-01
chicken-breast-skin-cooked|Chicken breast with skin, roasted||197|29.8|0|7.8|0|0|2.2|71|
chicken-breast-grilled-seasoned|Chicken breast, grilled, seasoned||175|30.5|1.0|4.5|0|0|1.2|420|4 oz (113 g)@113*;3 oz (85 g)@85|v=0
chicken-tenderloin-raw|Chicken tenderloin, raw|chicken tenders raw;chicken strips|109|22.5|0|1.3|0|0|0.3|60|4 oz (113 g)@113*;1 tenderloin (30 g)@30
chicken-tenderloin-cooked|Chicken tenderloin, cooked||150|30.9|0|1.8|0|0|0.4|82|4 oz (113 g)@113*;1 tenderloin (22 g)@22
chicken-thigh-raw|Chicken thigh, boneless skinless, raw||121|20.0|0|3.9|0|0|1.0|84|4 oz (113 g)@113*;1 thigh (86 g)@86
chicken-thigh-cooked|Chicken thigh, skinless, roasted||179|24.8|0|8.2|0|0|2.2|88|4 oz (113 g)@113*;1 thigh (52 g)@52;3 oz (85 g)@85
chicken-thigh-skin-cooked|Chicken thigh with skin, roasted||232|23.3|0|14.7|0|0|4.1|75|1 thigh (62 g)@62*;4 oz (113 g)@113
chicken-drumstick-cooked|Chicken drumstick, skinless, roasted||172|28.3|0|5.7|0|0|1.5|95|1 drumstick (44 g)@44*;2 drumsticks (88 g)@88
chicken-drumstick-skin-cooked|Chicken drumstick with skin, roasted||216|27.0|0|11.2|0|0|3.1|85|1 drumstick (71 g)@71*;100 g@100
chicken-wing-cooked|Chicken wing with skin, roasted||290|26.9|0|19.5|0|0|5.5|82|1 wing (34 g)@34*;6 wings (204 g)@204
chicken-wing-buffalo|Buffalo wings, fried with sauce|hot wings|315|22.0|4.0|23.0|0.3|1.5|6.5|900|1 wing (32 g)@32*;6 wings (192 g)@192;10 wings (320 g)@320|v=0
chicken-ground-raw|Ground chicken, raw||143|17.4|0|8.1|0|0|2.3|60|4 oz (113 g)@113*;1 lb (454 g)@454
