#category: prepared
#source: USDA FoodData Central (SR Legacy)
#verified: 0
#servings: 1 serving (200 g)@200*;100 g@100
# Composite home/deli dishes. Recipes vary enormously, so almost everything
# here is verified:false by design — these are "log something reasonable now,
# build a precise recipe later" entries. Prefer the recipe builder for accuracy.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- pizza & italian -----------------------------------------------------
pizza-cheese-slice|Pizza, cheese, regular crust||266|11.4|33.0|9.70|2.3|3.6|4.30|598|1 slice (107 g)@107*;2 slices (214 g)@214
pizza-pepperoni-slice|Pizza, pepperoni, regular crust||296|12.8|32.0|12.9|2.2|3.6|5.20|684|1 slice (111 g)@111*;2 slices (222 g)@222
pizza-supreme-slice|Pizza, supreme/deluxe||263|11.0|29.0|11.5|2.4|3.5|4.30|620|1 slice (127 g)@127*;100 g@100
pizza-thin-crust-cheese|Pizza, thin crust, cheese||290|13.0|30.0|13.0|2.0|3.0|6.0|600|1 slice (85 g)@85*;100 g@100
pizza-frozen-cheese|Pizza, frozen, cheese, baked||268|11.0|33.0|10.0|2.0|4.0|4.5|560|1/3 pizza (137 g)@137*;100 g@100
lasagna-meat|Lasagna, with meat sauce||132|8.10|11.9|5.60|1.2|3.0|2.70|340|1 piece (250 g)@250*;100 g@100
spaghetti-meat-sauce|Spaghetti with meat sauce||120|6.00|15.0|3.80|1.6|3.5|1.30|300|1 cup (250 g)@250*;2 cups (500 g)@500
spaghetti-meatballs|Spaghetti and meatballs||135|7.00|15.5|5.00|1.6|3.5|1.80|350|1 plate (350 g)@350*;100 g@100
mac-and-cheese-boxed|Macaroni and cheese, boxed, prepared||160|5.50|25.0|4.30|1.0|3.5|1.40|420|1 cup (198 g)@198*;100 g@100
mac-and-cheese-baked|Macaroni and cheese, baked, homemade||215|9.00|22.0|10.0|1.0|4.0|4.50|450|1 cup (200 g)@200*;100 g@100
chicken-parmesan|Chicken parmesan, with sauce||210|18.0|11.0|10.5|1.2|3.5|3.5|520|1 serving (250 g)@250*;100 g@100
risotto-mushroom|Risotto, mushroom||140|4.0|20.0|4.5|1.0|1.0|2.0|420|1 cup (200 g)@200*;100 g@100
gnocchi-with-sauce|Gnocchi with tomato sauce||140|4.0|24.0|3.5|2.0|3.0|1.0|450|1 cup (200 g)@200*;100 g@100

# --- mexican -------------------------------------------------------------
burrito-bean-cheese|Burrito, bean and cheese||210|8.50|28.0|7.00|3.5|1.5|3.00|560|1 burrito (200 g)@200*;100 g@100
burrito-chicken|Burrito, chicken, rice and beans||190|11.0|22.0|6.00|2.5|1.5|2.20|480|1 burrito (330 g)@330*;100 g@100
burrito-breakfast|Breakfast burrito, egg and cheese||215|10.0|20.0|11.0|1.5|1.5|4.00|530|1 burrito (170 g)@170*;100 g@100
burrito-bowl-chicken|Burrito bowl, chicken, rice, beans, salsa||135|10.0|14.0|4.00|3.0|1.5|1.20|380|1 bowl (450 g)@450*;100 g@100
taco-beef-hard-shell|Taco, ground beef, hard shell||220|10.0|17.0|12.5|2.5|1.0|4.50|400|1 taco (80 g)@80*;3 tacos (240 g)@240
taco-chicken-soft|Taco, chicken, soft flour tortilla||195|12.0|20.0|7.50|1.8|1.2|2.50|420|1 taco (100 g)@100*;3 tacos (300 g)@300
taco-fish|Taco, fish, soft||200|10.0|21.0|8.50|2.0|2.0|2.20|400|1 taco (110 g)@110*;100 g@100
quesadilla-cheese|Quesadilla, cheese||300|13.0|26.0|16.0|1.8|1.5|7.50|620|1/2 quesadilla (120 g)@120*;100 g@100
enchilada-chicken|Enchiladas, chicken, with sauce||170|9.50|15.0|8.00|2.0|2.5|3.00|480|2 enchiladas (250 g)@250*;100 g@100
