#category: restaurant
#source: restaurant published nutrition, converted to per-100 g
#verified: 0
#servings: 1 item (100 g)@100*;100 g@100
# IMPORTANT — HOW TO READ THIS FILE
# Restaurants publish per-ITEM nutrition, not per-100 g. Every row here was
# derived by dividing the published panel by the published item weight, so the
# per-100 g figures inherit any error in that weight. ALWAYS log these using the
# named item serving (the default), never by typing grams.
# The whole category is verified:false: it was reconstructed from the author's
# knowledge of published panels without live verification, and chains reformulate.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- McDonald's ----------------------------------------------------------
mcd-big-mac|Big Mac||257|11.9|20.5|15.1|1.4|4.1|5.0|461|1 burger (219 g)@219*;100 g@100|brand=McDonald's
mcd-quarter-pounder-cheese|Quarter Pounder with Cheese||257|14.9|20.8|12.9|1.0|5.0|6.4|564|1 burger (202 g)@202*;100 g@100|brand=McDonald's
mcd-mcdouble|McDouble||265|14.6|21.9|13.2|1.3|4.6|6.0|609|1 burger (151 g)@151*;100 g@100|brand=McDonald's
mcd-hamburger|Hamburger||255|12.6|30.7|8.4|1.2|5.9|3.1|468|1 burger (103 g)@103*;100 g@100|brand=McDonald's
mcd-mcchicken|McChicken||280|9.8|27.3|14.7|1.4|3.5|2.4|392|1 sandwich (143 g)@143*;100 g@100|brand=McDonald's
mcd-nuggets-10|Chicken McNuggets, 10 piece||253|14.2|15.4|14.8|0.9|0.3|2.5|494|10 pieces (162 g)@162*;6 pieces (97 g)@97;4 pieces (65 g)@65|brand=McDonald's
mcd-fries-medium|French fries, medium||288|3.6|38.7|13.5|3.6|0.3|1.8|234|1 medium (111 g)@111*;1 small (71 g)@71;1 large (154 g)@154|brand=McDonald's
mcd-hash-brown|Hash brown||272|1.9|28.3|17.0|3.8|0|2.8|585|1 hash brown (53 g)@53*;100 g@100|brand=McDonald's
mcd-egg-mcmuffin|Egg McMuffin||193|10.6|18.6|8.1|1.2|1.9|3.7|478|1 sandwich (161 g)@161*;100 g@100|brand=McDonald's
mcd-sausage-mcmuffin-egg|Sausage McMuffin with Egg||294|12.3|18.4|19.0|1.2|1.2|7.4|509|1 sandwich (163 g)@163*;100 g@100|brand=McDonald's
mcd-mcflurry-oreo|McFlurry with Oreo cookies||179|4.2|28.1|5.6|0.4|20.4|3.2|98|1 regular (285 g)@285*;100 g@100|brand=McDonald's
mcd-vanilla-cone|Vanilla soft serve cone||180|4.5|28.8|4.5|0.9|21.6|2.7|90|1 cone (111 g)@111*;100 g@100|brand=McDonald's

# --- Burger King / Wendy's / other burgers --------------------------------
bk-whopper|Whopper||230|10.7|17.5|13.7|0.7|3.8|4.1|351|1 burger (291 g)@291*;100 g@100|brand=Burger King
bk-chicken-fries|Chicken fries, 9 piece||265|13.0|21.0|14.5|1.5|0.5|2.5|750|9 pieces (128 g)@128*;100 g@100|brand=Burger King
wendys-daves-single|Dave's Single||229|11.2|15.1|13.2|0.8|3.1|5.4|453|1 burger (258 g)@258*;100 g@100|brand=Wendy's
wendys-baconator|Baconator||325|20.3|13.2|21.0|0.7|3.1|8.5|563|1 burger (295 g)@295*;100 g@100|brand=Wendy's
wendys-chili-small|Chili, small||106|9.3|10.1|3.1|2.6|3.1|1.3|432|1 small (227 g)@227*;1 large (340 g)@340|brand=Wendy's
wendys-frosty-small|Frosty, chocolate, small||140|3.5|24.0|3.5|0.5|20.0|2.2|75|1 small (227 g)@227*;100 g@100|brand=Wendy's
in-n-out-double-double|Double-Double burger||203|11.2|11.8|12.4|0.9|3.0|5.5|436|1 burger (330 g)@330*;100 g@100|brand=In-N-Out
