#category: sauce
#source: USDA FoodData Central (SR Legacy)
#servings: 1/4 cup (60 g)@60*;2 tbsp (30 g)@30;100 g@100
#density: 1.05
# Cooking sauces and salad dressings. Dressing is the single most under-logged
# item in a food diary — 2 tbsp of ranch is 145 kcal.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
sauce-marinara|Marinara sauce, jarred|pasta sauce;tomato sauce|54|1.60|9.30|1.30|1.9|5.30|0.20|420|1/2 cup (125 g)@125*;1/4 cup (63 g)@63;1 cup (250 g)@250
sauce-tomato-plain|Tomato sauce, canned, plain||24|1.20|5.30|0.20|1.5|3.70|0.03|460|1/4 cup (62 g)@62*;1 cup (245 g)@245
sauce-vodka|Vodka sauce||110|2.5|9.0|7.0|1.5|5.0|3.0|450|1/2 cup (125 g)@125*;1/4 cup (63 g)@63|v=0
sauce-alfredo|Alfredo sauce, jarred||180|3.0|5.0|17.0|0.5|2.0|8.0|700|1/4 cup (61 g)@61*;1/2 cup (122 g)@122|v=0
sauce-bolognese|Bolognese meat sauce||95|6.0|7.0|4.5|1.5|4.0|1.6|400|1/2 cup (125 g)@125*;1 cup (250 g)@250|v=0
sauce-arrabbiata|Arrabbiata sauce||60|1.8|8.5|2.0|2.0|5.0|0.3|480|1/2 cup (125 g)@125*;100 g@100|v=0
pesto-basil|Pesto, basil||455|5.0|6.0|46.0|1.5|1.5|7.0|750|2 tbsp (32 g)@32*;1 tbsp (16 g)@16;1/4 cup (64 g)@64|v=0
pesto-sundried-tomato|Pesto, sun-dried tomato||400|4.0|10.0|38.0|2.5|4.0|5.5|800|2 tbsp (32 g)@32*;100 g@100|v=0
sauce-bbq|Barbecue sauce||172|0.82|40.8|0.63|0.9|33.2|0.09|1027|2 tbsp (36 g)@36*;1 tbsp (18 g)@18;1/4 cup (72 g)@72|d=1.2
sauce-bbq-sugar-free|Barbecue sauce, sugar free||40|1.0|9.0|0.3|3.0|1.0|0|900|2 tbsp (36 g)@36*;100 g@100|d=1.2;v=0
sauce-teriyaki|Teriyaki sauce||89|5.93|15.6|0.02|0.1|14.1|0|3833|1 tbsp (18 ml)@21.6*;2 tbsp (36 g)@36|d=1.2
sauce-buffalo|Buffalo wing sauce||60|0.5|4.0|4.5|0.5|1.0|0.7|3200|1 tbsp (15 g)@15*;2 tbsp (30 g)@30|d=1.05;v=0
sauce-enchilada-red|Enchilada sauce, red||45|1.2|6.5|1.7|1.5|2.5|0.3|700|1/4 cup (60 g)@60*;1/2 cup (120 g)@120|v=0
sauce-queso|Queso dip, cheese sauce||250|9.0|8.0|20.0|0.5|4.5|9.0|1150|1/4 cup (60 g)@60*;2 tbsp (30 g)@30|v=0
