#category: snack
#source: USDA FoodData Central (SR Legacy)
#servings: 1 oz (28 g)@28*;100 g@100
# Chips, crackers, candy and sweets. The default serving is deliberately the
# labelled 1 oz portion, not the bag — but bag servings are provided because
# people eat bags.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- salty snacks --------------------------------------------------------
chips-potato-plain|Potato chips, plain, salted||536|6.56|53.0|34.6|4.4|0.32|3.11|525|1 oz (28 g)@28*;1 small bag (43 g)@43;1 cup (25 g)@25
chips-potato-kettle|Potato chips, kettle cooked||500|6.7|60.0|26.7|4.0|0|3.3|450|1 oz (28 g)@28*;1 small bag (43 g)@43|v=0
chips-potato-bbq|Potato chips, barbecue||500|6.0|57.0|28.0|4.0|4.0|3.5|750|1 oz (28 g)@28*;1 small bag (43 g)@43|v=0
chips-tortilla-plain|Tortilla chips, plain||489|7.00|65.0|23.4|4.4|0.9|3.0|400|1 oz (28 g)@28*;12 chips (28 g)@28;1 basket (85 g)@85
chips-tortilla-restaurant|Tortilla chips, restaurant style, salted||500|6.5|63.0|25.0|4.5|0.5|3.3|500|1 oz (28 g)@28*;1 basket (85 g)@85|v=0
chips-doritos-nacho|Doritos Nacho Cheese||500|7.1|60.7|25.0|3.6|0|3.6|750|1 oz (28 g)@28*;1 bag (92 g)@92|brand=Doritos;src=manufacturer label
chips-cheetos-crunchy|Cheetos, crunchy||571|7.1|57.1|35.7|3.6|3.6|5.4|1071|1 oz (28 g)@28*;1 bag (57 g)@57|brand=Cheetos;src=manufacturer label
chips-fritos|Fritos corn chips||571|7.1|57.1|35.7|3.6|0|5.4|643|1 oz (28 g)@28*;1 bag (57 g)@57|brand=Fritos;src=manufacturer label
chips-sun-chips|SunChips, harvest cheddar||464|7.1|64.3|19.6|5.4|3.6|2.7|500|1 oz (28 g)@28*;1 bag (43 g)@43|brand=SunChips;src=manufacturer label
chips-pita|Pita chips, sea salt||464|10.7|64.3|17.9|3.6|1.8|1.8|714|1 oz (28 g)@28*;100 g@100|v=0
chips-veggie-straws|Veggie straws||500|3.6|64.3|25.0|3.6|3.6|2.2|571|1 oz (28 g)@28*;100 g@100|v=0
chips-plantain|Plantain chips||519|2.0|58.0|31.0|4.0|3.0|13.0|180|1 oz (28 g)@28*;100 g@100|v=0
pretzels-hard|Pretzels, hard, salted||384|10.0|80.4|2.90|3.0|2.6|0.60|1240|1 oz (28 g)@28*;10 twists (60 g)@60
pretzels-soft|Soft pretzel||338|8.20|69.4|3.10|1.7|1.0|0.68|900|1 pretzel (115 g)@115*;100 g@100
popcorn-air-popped|Popcorn, air popped, plain||387|12.9|77.8|4.54|14.5|0.87|0.63|8|1 cup (8 g)@8*;3 cups (24 g)@24;1 oz (28 g)@28
popcorn-microwave-butter|Popcorn, microwave, butter flavored||500|9.0|57.0|28.0|10.0|0.5|5.5|800|1 bag popped (32 g)@32*;3 cups (24 g)@24|v=0
popcorn-movie-theater|Popcorn, movie theater, with topping||550|7.0|55.0|35.0|9.0|0.5|17.0|750|1 small (90 g)@90*;1 medium (170 g)@170|v=0
popcorn-skinny-pop|SkinnyPop popcorn, original||500|7.1|57.1|28.6|10.7|0|2.7|250|1 oz (28 g)@28*;1 bag (128 g)@128|brand=SkinnyPop;src=manufacturer label
popcorn-caramel|Caramel corn||430|4.0|76.0|13.0|4.0|46.0|3.0|280|1 oz (28 g)@28*;1 cup (35 g)@35|v=0
snack-mix-chex|Chex Mix, traditional||450|7.1|71.4|14.3|3.6|3.6|2.7|1000|1 oz (28 g)@28*;1/2 cup (30 g)@30|brand=Chex;src=manufacturer label
seaweed-snack-roasted|Seaweed snack, roasted, salted||500|30.0|30.0|30.0|20.0|0|4.0|1400|1 pack (5 g)@5*;100 g@100|v=0

# --- crackers ------------------------------------------------------------
crackers-saltine|Saltine crackers||421|9.50|71.5|10.6|2.8|0.9|2.10|1100|5 crackers (15 g)@15*;1 oz (28 g)@28
crackers-ritz|Ritz crackers||500|6.2|62.5|25.0|3.1|9.4|3.1|812|5 crackers (16 g)@16*;1 oz (28 g)@28|brand=Ritz;src=manufacturer label
crackers-wheat-thins|Wheat Thins, original||464|7.1|71.4|17.9|7.1|17.9|1.8|750|16 crackers (31 g)@31*;1 oz (28 g)@28|brand=Wheat Thins;src=manufacturer label
