#category: soup
#source: USDA FoodData Central (SR Legacy)
#servings: 1 cup (245 ml)@245*;1 bowl (350 ml)@350;100 g@100
#density: 1.02
# All values are for the soup AS SERVED (condensed soups already reconstituted).
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
soup-chicken-noodle|Chicken noodle soup, canned, prepared||25|1.50|3.10|0.75|0.3|0.4|0.20|343|1 cup (245 ml)@245*;1 can (305 g)@305
soup-chicken-noodle-homemade|Chicken noodle soup, homemade||40|3.50|4.50|1.00|0.4|0.5|0.25|300|1 cup (245 ml)@245*;1 bowl (350 ml)@350|v=0
soup-tomato|Tomato soup, canned, prepared with water||30|0.80|6.60|0.30|0.6|4.0|0.06|292|1 cup (245 ml)@245*;1 can (305 g)@305
soup-tomato-cream|Creamy tomato soup||60|1.50|8.00|2.50|0.8|5.0|1.50|360|1 cup (245 ml)@245*;1 bowl (350 ml)@350|v=0
soup-minestrone|Minestrone soup, canned||34|2.10|5.30|0.90|1.0|1.0|0.20|370|1 cup (245 ml)@245*;1 bowl (350 ml)@350
soup-vegetable|Vegetable soup, canned||30|1.20|5.50|0.50|0.9|1.5|0.10|340|1 cup (245 ml)@245*;100 g@100|v=0
soup-lentil|Lentil soup||55|3.50|8.50|0.70|2.5|1.0|0.15|300|1 cup (245 ml)@245*;1 bowl (350 ml)@350|v=0
soup-black-bean|Black bean soup, canned||46|2.60|8.00|0.60|3.5|1.0|0.15|500|1 cup (245 ml)@245*;100 g@100
soup-split-pea-ham|Split pea with ham soup||75|4.10|11.0|1.60|1.7|1.5|0.60|400|1 cup (245 ml)@245*;100 g@100
soup-broccoli-cheddar|Broccoli cheddar soup||100|3.50|7.00|6.50|1.0|2.5|3.20|480|1 cup (245 ml)@245*;1 bowl (350 ml)@350|v=0
soup-clam-chowder-new-england|Clam chowder, New England||80|3.50|8.50|3.60|0.5|1.0|1.10|400|1 cup (245 ml)@245*;1 bread bowl (450 g)@450|v=0
soup-corn-chowder|Corn chowder||85|2.50|12.0|3.20|1.2|4.0|1.30|380|1 cup (245 ml)@245*;100 g@100|v=0
soup-french-onion|French onion soup, with cheese and bread||70|3.50|7.00|3.20|0.8|2.5|1.80|560|1 cup (245 ml)@245*;1 crock (350 g)@350|v=0
soup-butternut-squash|Butternut squash soup||50|1.20|9.50|1.30|1.5|4.0|0.70|340|1 cup (245 ml)@245*;100 g@100|v=0
soup-miso|Miso soup||16|1.20|1.80|0.50|0.3|0.5|0.10|350|1 cup (245 ml)@245*;1 bowl (200 ml)@204
soup-egg-drop|Egg drop soup||27|2.00|2.20|1.10|0.1|0.5|0.30|380|1 cup (245 ml)@245*;100 g@100|v=0
soup-hot-and-sour|Hot and sour soup||38|2.50|3.50|1.50|0.5|1.0|0.40|450|1 cup (245 ml)@245*;100 g@100|v=0
soup-wonton|Wonton soup||30|2.00|3.50|0.80|0.3|0.5|0.20|400|1 cup (245 ml)@245*;1 bowl (350 ml)@350|v=0
soup-chicken-tortilla|Chicken tortilla soup||55|3.50|6.00|2.00|1.0|1.5|0.50|420|1 cup (245 ml)@245*;100 g@100|v=0
soup-matzo-ball|Matzo ball soup||45|2.00|5.50|1.60|0.4|0.5|0.35|420|1 cup (245 ml)@245*;100 g@100|v=0
soup-gumbo-chicken-sausage|Gumbo, chicken and sausage||70|5.00|5.50|3.20|0.8|1.0|1.00|480|1 cup (245 ml)@245*;100 g@100|v=0
chili-con-carne-beans|Chili con carne, with beans||110|8.50|10.0|4.00|3.0|1.5|1.50|420|1 cup (253 g)@253*;1 bowl (350 g)@350
beef-stew|Beef stew, with vegetables||85|6.50|7.50|3.00|1.0|1.5|1.20|350|1 cup (245 g)@245*;1 bowl (350 g)@350
broth-chicken|Chicken broth||6|0.60|0.40|0.20|0|0.2|0.05|343|1 cup (240 ml)@240*;1 carton (946 ml)@965
broth-beef|Beef broth||7|1.00|0.10|0.10|0|0|0.05|350|1 cup (240 ml)@240*;100 g@100
broth-vegetable|Vegetable broth||5|0.20|1.00|0|0|0.4|0|350|1 cup (240 ml)@240*;100 g@100|v=0
broth-bone-chicken|Bone broth, chicken||18|4.00|0|0.20|0|0|0.05|230|1 cup (240 ml)@240*;100 g@100|v=0
bouillon-cube-chicken|Bouillon cube, chicken||300|13.0|20.0|18.0|0|3.0|8.0|20000|1 cube (4 g)@4*;100 g@100|d=-;v=0
