#category: supplement
#source: manufacturer label (typical US product)
#verified: 0
#servings: 1 scoop (30 g)@30*;100 g@100
# Sports nutrition, protein powders, bars, RTD shakes and micronutrient
# supplements. Formulations change often — treat these as sensible defaults and
# encourage the user to scan the barcode or override from the label.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- protein powders -----------------------------------------------------
whey-isolate-unflavored|Whey protein isolate, unflavored||373|87.0|3.3|1.0|0|1.7|0.7|267|1 scoop (30 g)@30*;2 scoops (60 g)@60;1 tbsp (10 g)@10|d=-
whey-isolate-vanilla|Whey protein isolate, vanilla||379|79.0|10.0|1.7|1.0|3.4|1.0|400|1 scoop (31 g)@31*;2 scoops (62 g)@62|d=-
whey-concentrate-chocolate|Whey protein concentrate, chocolate||400|71.0|13.0|6.5|2.5|5.0|3.5|350|1 scoop (31 g)@31*;2 scoops (62 g)@62|d=-
whey-blend-gold-standard|Whey protein blend, chocolate|optimum nutrition gold standard|387|77.4|9.7|3.2|3.2|3.2|1.6|420|1 scoop (31 g)@31*;2 scoops (62 g)@62|brand=Optimum Nutrition
casein-micellar-vanilla|Micellar casein protein, vanilla||355|77.0|10.0|1.5|1.5|3.0|0.8|550|1 scoop (33 g)@33*;100 g@100|d=-
protein-plant-pea-rice|Plant protein powder, pea and rice||375|71.0|13.0|6.0|5.0|2.0|1.0|500|1 scoop (35 g)@35*;100 g@100|d=-
protein-collagen-peptides|Collagen peptides, unflavored||360|90.0|0|0|0|0|0|130|1 scoop (11 g)@11*;2 scoops (22 g)@22|d=-
protein-egg-white-powder|Egg white protein powder||382|81.0|7.8|0.1|0|5.5|0|1280|1 scoop (30 g)@30*;100 g@100|d=-
protein-beef-isolate|Beef protein isolate||360|85.0|5.0|1.0|0|1.0|0.5|600|1 scoop (30 g)@30*;100 g@100|d=-
protein-mass-gainer|Mass gainer powder, chocolate||380|20.0|68.0|3.5|3.0|18.0|1.5|300|2 scoops (165 g)@165*;100 g@100|d=-
meal-replacement-huel|Meal replacement powder, vanilla|huel|400|29.0|37.0|13.0|7.0|4.0|2.0|400|2 scoops (100 g)@100*;100 g@100|d=-

# --- ready-to-drink shakes -----------------------------------------------
shake-fairlife-core-power|Fairlife Core Power, chocolate, 26 g||55|8.7|3.3|1.0|0|3.3|0.7|60|1 bottle (414 ml)@426*;100 g@100|brand=Fairlife;d=1.03
