#category: vegetable
#source: USDA FoodData Central (SR Legacy)
#servings: 1 cup (100 g)@100*;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- cruciferous ---------------------------------------------------------
broccoli-raw|Broccoli, raw||34|2.82|6.64|0.37|2.6|1.70|0.04|33|1 cup chopped (91 g)@91*;1 spear (31 g)@31;1 head (608 g)@608|ret=0;car=31;ffol=63;fac=0;dfe=63
broccoli-cooked|Broccoli, boiled or steamed||35|2.38|7.18|0.41|3.3|1.39|0.05|41|1 cup (156 g)@156*;1/2 cup (78 g)@78|ret=0;car=77;ffol=108;fac=0;dfe=108
broccoli-frozen-cooked|Broccoli, frozen, cooked||28|3.10|5.35|0.12|3.0|1.20|0.02|22|1 cup (184 g)@184*;100 g@100
broccolini-cooked|Broccolini, cooked||35|3.0|6.0|0.4|2.6|1.5|0.05|30|1 cup (100 g)@100*;100 g@100|v=0
broccoli-rabe-cooked|Broccoli rabe, cooked|rapini|33|3.83|3.12|0.52|2.7|0.4|0.07|56|1 cup (85 g)@85*;100 g@100
cauliflower-raw|Cauliflower, raw||25|1.92|4.97|0.28|2.0|1.91|0.13|30|1 cup chopped (107 g)@107*;1 head (575 g)@575|ret=0;car=0;ffol=57;fac=0;dfe=57
cauliflower-cooked|Cauliflower, boiled or roasted||23|1.84|4.11|0.45|2.3|1.72|0.10|15|1 cup (124 g)@124*;1/2 cup (62 g)@62
brussels-sprouts-raw|Brussels sprouts, raw||43|3.38|8.95|0.30|3.8|2.20|0.06|25|1 cup (88 g)@88*;100 g@100|ret=0;car=38;ffol=61;fac=0;dfe=61
brussels-sprouts-cooked|Brussels sprouts, cooked||36|2.55|7.10|0.50|2.6|1.74|0.10|21|1 cup (156 g)@156*;1/2 cup (78 g)@78
cabbage-green-raw|Cabbage, green, raw||25|1.28|5.80|0.10|2.5|3.20|0.03|18|1 cup shredded (89 g)@89*;100 g@100|ret=0;car=5;ffol=43;fac=0;dfe=43
cabbage-red-raw|Cabbage, red, raw||31|1.43|7.37|0.16|2.1|3.83|0.02|27|1 cup shredded (89 g)@89*;100 g@100
cabbage-napa-raw|Napa cabbage, raw|chinese cabbage|12|1.10|2.23|0.20|1.2|1.41|0.03|11|1 cup shredded (76 g)@76*;100 g@100
bok-choy-raw|Bok choy, raw||13|1.50|2.18|0.20|1.0|1.18|0.03|65|1 cup shredded (70 g)@70*;100 g@100
kohlrabi-raw|Kohlrabi, raw||27|1.70|6.20|0.10|3.6|2.60|0.01|20|1 cup (135 g)@135*;100 g@100
turnip-cooked|Turnip, cooked||22|0.71|5.06|0.08|2.0|3.04|0.01|16|1 cup cubed (156 g)@156*;100 g@100
rutabaga-cooked|Rutabaga, cooked||30|0.94|6.83|0.17|2.3|4.46|0.03|17|1 cup (170 g)@170*;100 g@100
radish-raw|Radishes, raw||16|0.68|3.40|0.10|1.6|1.86|0.03|39|1 cup sliced (116 g)@116*;1 radish (4.5 g)@4.5
daikon-raw|Daikon radish, raw||18|0.60|4.10|0.10|1.6|2.50|0.03|21|1 cup sliced (116 g)@116*;100 g@100
horseradish-prepared|Horseradish, prepared||48|1.18|11.3|0.69|3.3|7.99|0.09|420|1 tsp (5 g)@5*;1 tbsp (15 g)@15

# --- leafy greens --------------------------------------------------------
spinach-raw|Spinach, raw||23|2.86|3.63|0.39|2.2|0.42|0.06|79|1 cup (30 g)@30*;3 cups (90 g)@90;1 bag (142 g)@142|ret=0;car=469;ffol=194;fac=0;dfe=194
spinach-cooked|Spinach, cooked from fresh||23|2.97|3.75|0.26|2.4|0.43|0.04|70|1 cup (180 g)@180*;1/2 cup (90 g)@90|ret=0;car=524;ffol=146;fac=0;dfe=146
spinach-frozen-cooked|Spinach, frozen, cooked||34|4.01|4.80|0.87|3.7|0.55|0.16|74|1 cup (190 g)@190*;100 g@100
kale-raw|Kale, raw||49|4.28|8.75|0.93|3.6|2.26|0.09|38|1 cup chopped (21 g)@21*;2 cups (42 g)@42;1 bunch (118 g)@118|ret=0;car=500;ffol=141;fac=0;dfe=141
kale-cooked|Kale, cooked||28|1.90|5.63|0.40|2.0|1.25|0.05|23|1 cup (130 g)@130*;100 g@100|ret=0;car=241;ffol=13;fac=0;dfe=13
lettuce-romaine|Romaine lettuce||17|1.23|3.29|0.30|2.1|1.19|0.04|8|1 cup shredded (47 g)@47*;1 heart (312 g)@312;2 cups (94 g)@94|ret=0;car=436;ffol=136;fac=0;dfe=136
